city,lat,long,ags,population,date,cases,proKopf,gesund,tot,01.03.2020,02.03.2020,03.03.2020,04.03.2020,05.03.2020,06.03.2020,07.03.2020,08.03.2020,09.03.2020,10.03.2020,11.03.2020,12.03.2020,13.03.2020,14.03.2020,15.03.2020,16.03.2020,17.03.2020,"18.03.2020",
Aachen & Region,50.749709,6.213554,05334,555465,"""18.3.2020"," 16.00 Uhr""",273,2035,0,2,6,10,10,13,33,41,51,57,58,61,63,63,85,85,140,169,211,"273"
Bielefeld,52.018202,8.577806,05711,333786,"""18.3.2020"," 16.00 Uhr""",59,5657,0,0,0,0,0,0,0,0,0,2,2,2,5,9,17,17,17,27,28,"59"
Bochum,51.474951,7.213937,05911,364628,"""18.3.2020"," 16.00 Uhr""",30,12154,0,0,0,0,0,0,1,2,2,3,4,4,5,8,18,18,20,26,26,"30"
Bonn,50.724104,7.114887,05314,327258,"""18.3.2020"," 16.00 Uhr""",69,4743,0,0,1,1,1,1,1,1,2,4,5,6,13,17,23,28,36,41,64,"69"
Kreis Borken,51.9419987,6.9812473,05554,370676,"""18.3.2020"," 16.00 Uhr""",131,2830,0,0,0,0,0,0,0,0,0,0,0,1,1,3,19,27,45,82,104,"131"
Bottrop,51.52873,6.943227,05512,117383,"""18.3.2020"," 16.00 Uhr""",9,13043,0,0,0,0,0,0,1,5,5,5,5,6,7,14,3,3,3,4,7,"9"
Kreis Coesfeld,51.941946,7.166349,05558,219929,"""18.3.2020"," 16.00 Uhr""",70,3142,0,0,0,0,0,0,13,13,16,18,21,21,22,28,33,39,47,50,53,"70"
Dortmund,51.5135872,7.4652981,05913,587010,"""18.3.2020"," 16.00 Uhr""",65,9031,0,0,0,0,0,0,2,2,2,4,4,5,12,12,14,14,19,33,49,"65"
Duisburg,51.47994,6.75966,05112,498590,"""18.3.2020"," 16.00 Uhr""",52,9588,0,0,0,1,1,1,1,2,2,2,3,3,7,9,10,14,14,30,46,"52"
Kreis DÃ¼ren,50.801834,6.48195,05358,263722,"""18.3.2020"," 16.00 Uhr""",57,4627,0,0,1,1,1,2,4,4,4,4,5,6,7,9,15,18,24,39,47,"57"
DÃ¼sseldorf,51.226297,6.801324,05111,619294,"""18.3.2020"," 16.00 Uhr""",97,6384,0,1,0,0,1,1,1,3,3,3,3,5,6,7,16,23,36,36,97,"97"
Ennepe-Ruhr-Kreis,51.366277,7.310078,05954,324296,"""18.3.2020"," 16.00 Uhr""",32,10134,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,14,17,17,"32"
Essen,51.468739,7.019603,05113,583109,"""18.3.2020"," 16.00 Uhr""",115,5071,0,1,1,1,1,2,5,5,6,6,6,5,9,12,20,34,52,80,89,"115"
Kreis Euskirchen,50.5320004,6.6364339,05366,192840,"""18.3.2020"," 16.00 Uhr""",19,10149,0,0,0,0,0,0,1,1,1,1,2,2,2,3,4,5,6,12,12,"19"
Gelsenkirchen,51.517744,7.0857172,05513,260654,"""18.3.2020"," 16.00 Uhr""",21,12412,0,0,0,0,0,0,3,3,3,3,3,4,4,4,7,9,12,13,18,"21"
Kreis GÃ¼tersloh,51.903311,8.390601,05754,364083,"""18.3.2020"," 16.00 Uhr""",91,4001,0,0,0,0,0,0,1,1,0,0,0,0,5,15,15,15,45,71,80,"91"
Hagen,51.371236,7.487553,05914,188814,"""18.3.2020"," 16.00 Uhr""",11,17165,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,5,5,6,8,"11"
Hamm,51.674274,7.821892,05915,179111,"""18.3.2020"," 16.00 Uhr""",16,11194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,8,"16"
Kreis Heinsberg,51.06395,6.098857,05370,254322,"""18.3.2020"," 16.00 Uhr""",811,314,0,8,65,65,78,87,197,214,214,277,292,365,403,483,558,589,650,690,760,"811"
Kreis Herford,52.1759015,8.5988205,05758,250783,"""18.3.2020"," 16.00 Uhr""",52,4823,0,0,0,0,0,0,0,2,2,2,2,2,4,5,9,19,22,26,26,"52"
Herne,51.540584,7.20971,05916,156374,"""18.3.2020"," 16.00 Uhr""",7,22339,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,5,8,8,"7"
Hochsauerlandkreis,51.24509,8.301315,05958,260475,"""18.3.2020"," 16.00 Uhr""",80,3256,0,0,0,0,0,0,0,0,0,0,0,1,1,6,14,20,30,31,37,"80"
Kreis HÃ¶xter,51.775929,9.380873,05762,140667,"""18.3.2020"," 16.00 Uhr""",7,20095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,"7"
Kreis Kleve,51.7794,6.126757,05154,310974,"""18.3.2020"," 16.00 Uhr""",66,4712,0,0,0,0,0,0,0,0,0,0,0,1,2,4,10,14,32,36,66,"66"
KÃ¶ln,50.94718,6.934628,05315,1085664,"""18.3.2020"," 16.00 Uhr""",430,2525,0,1,5,5,6,7,12,18,20,30,30,33,43,63,83,83,129,274,274,"430"
Krefeld,51.337869,6.585484,05114,227020,"""18.3.2020"," 16.00 Uhr""",53,4283,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,10,10,19,36,"53"
Leverkusen,51.048254,7.029976,05316,163838,"""18.3.2020"," 16.00 Uhr""",31,5285,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,5,9,20,21,"31"
Kreis Lippe,51.9759031,8.9865279,05766,348391,"""18.3.2020"," 16.00 Uhr""",107,3256,0,0,0,0,0,0,1,1,1,1,3,11,19,21,36,37,37,56,56,"107"
MÃ¤rkischer Kreis,51.285488,7.734746,05962,412120,"""18.3.2020"," 16.00 Uhr""",27,15264,0,0,1,0,1,1,3,5,5,5,5,6,7,10,13,13,13,17,21,"27"
Kreis Mettmann,51.252811,6.970846,05158,485684,"""18.3.2020"," 16.00 Uhr""",63,7709,0,0,0,0,0,1,1,2,2,6,6,8,11,16,19,19,19,19,44,"63"
Kreis Minden-LÃ¼bbecke,52.3351538,8.7623421,05770,310710,"""18.3.2020"," 16.00 Uhr""",97,3203,0,0,0,0,0,0,0,1,2,4,5,5,9,10,14,32,47,61,74,"97"
MÃ¶nchengladbach,51.1821,6.428687,05116,261454,"""18.3.2020"," 16.00 Uhr""",37,7066,0,0,1,1,1,1,3,5,7,7,7,8,8,17,23,23,36,36,37,"37"
MÃ¼lheim an der Ruhr,51.437117,6.894836,05117,170880,"""18.3.2020"," 16.00 Uhr""",14,12206,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,9,9,9,12,"14"
MÃ¼nster,51.954044,7.624747,05515,314319,"""18.3.2020"," 16.00 Uhr""",114,2757,0,0,1,1,1,2,4,8,4,4,5,6,8,14,23,41,56,90,90,"114"
Oberbergischer Kreis,50.971448,7.579776,05374,272471,"""18.3.2020"," 16.00 Uhr""",50,5449,0,0,0,0,0,2,2,5,5,5,5,6,10,11,14,14,19,27,27,"50"
Oberhausen,51.498071,6.862345,05119,210829,"""18.3.2020"," 16.00 Uhr""",13,16218,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,8,8,8,13,"13"
Kreis Olpe,51.026592,7.849124,05966,134775,"""18.3.2020"," 16.00 Uhr""",14,9627,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,6,6,6,"14"
Kreis Paderborn,51.7156948,8.7464185,05774,306890,"""18.3.2020"," 16.00 Uhr""",56,5480,0,0,0,0,0,0,0,1,1,2,2,2,6,6,18,32,36,37,45,"56"
Kreis Recklinghausen,51.6783004,7.1311409,05562,615261,"""18.3.2020"," 16.00 Uhr""",69,8917,0,0,0,0,0,0,1,1,1,1,1,2,9,16,31,41,47,51,56,"69"
Remscheid,51.180907,7.180644,05120,110994,"""18.3.2020"," 16.00 Uhr""",10,11099,0,0,0,0,0,0,0,0,0,1,4,4,4,5,7,7,8,8,9,"10"
Rhein-Erft-Kreis,50.926461,6.69704,05362,470089,"""18.3.2020"," 16.00 Uhr""",90,5223,0,0,0,1,1,1,2,2,2,2,2,3,6,10,13,24,36,58,82,"90"
Rheinisch-Bergischer Kreis,51.013579,7.181018,05378,283455,"""18.3.2020"," 16.00 Uhr""",60,4724,0,0,0,0,0,2,3,3,3,4,9,11,12,18,28,29,30,52,52,"60"
