city,lat,long,ags,population,url,date,cases,proKopf,gesund,tot,01.03.2020,02.03.2020,03.03.2020,04.03.2020,05.03.2020,06.03.2020,07.03.2020,08.03.2020,09.03.2020,10.03.2020,11.03.2020,12.03.2020,13.03.2020,14.03.2020,15.03.2020,16.03.2020,17.03.2020,18.03.2020,19.03.2020,20.03.2020,21.03.2020,22.03.2020,23.03.2020,"24.03.2020",
Aachen & Region,50.749709,6.213554,05334,555465,https://www.staedteregion-aachen.de/de/navigation/aemter/oeffentlichkeitsarbeit-s-13/aktuelles/pressemitteilungen/aktuelle-pressemitteilungen/coronavirus/,"""24.03.2020"," 16 Uhr""",540,1029,0,6,6,10,10,13,33,41,51,57,58,61,63,63,85,85,140,169,211,273,343,361,436,501,530,"540"
Bielefeld,52.018202,8.577806,05711,333786,https://www.bielefeld.de/de/gs/covi/,"""24.03.2020"," 16 Uhr""",104,3209,0,,0,0,0,0,0,0,0,2,2,2,5,9,17,17,17,27,28,49,49,66,66,81,98,"104"
Bochum,51.474951,7.213937,05911,364628,https://www.bochum.de/Corona/,"""24.03.2020"," 16 Uhr""",143,2550,0,1,0,0,0,0,1,2,2,3,4,4,5,8,18,18,20,26,26,30,39,77,77,99,141,"143"
Bonn,50.724104,7.114887,05314,327258,https://www.bonn.de/themen-entdecken/gesundheit-verbraucherschutz/coronavirus.php,"""24.03.2020"," 16 Uhr""",164,1995,0,,1,1,1,1,1,1,2,4,5,6,13,17,23,28,36,41,64,69,76,92,119,132,157,"164"
Kreis Borken,51.9419987,6.9812473,05554,370676,https://kreis-borken.de/index.php?id=17236&L=494,"""24.03.2020"," 16 Uhr""",300,1236,1,2,0,0,0,0,0,0,0,0,0,1,1,3,19,27,45,82,104,131,187,226,252,274,282,"300"
Bottrop,51.52873,6.943227,05512,117383,https://www.bottrop.de/soziales/gesundheit/infos-zum-coronavirus/index.php,"""24.03.2020"," 16 Uhr""",18,6521,0,,0,0,0,0,1,5,5,5,5,6,7,14,3,3,3,4,7,9,10,16,16,16,17,"18"
Kreis Coesfeld,51.941946,7.166349,05558,219929,https://www.kreis-coesfeld.de/themen-projekte/gesundheit/informationen-zum-coronavirus/pressemeldungen-zum-coronavirus.html,"""24.03.2020"," 16 Uhr""",172,1279,0,,0,0,0,0,13,13,16,18,21,21,22,28,33,39,47,50,53,70,93,116,129,152,152,"172"
Dortmund,51.5135872,7.4652981,05913,587010,https://www.dortmund.de/de/leben_in_dortmund/nachrichtenportal/alle_nachrichten/nachricht.jsp?nid=622746,"""24.03.2020"," 16 Uhr""",174,3374,0,,0,0,0,0,2,2,2,4,4,5,12,12,14,14,19,33,49,65,76,140,140,140,160,"174"
Duisburg,51.47994,6.75966,05112,498590,https://www.duisburg.de/microsites/coronavirus/aktuelles/index.php,"""24.03.2020"," 16 Uhr""",160,3116,0,,0,1,1,1,1,2,2,2,3,3,7,9,10,14,14,30,46,52,63,81,89,89,133,"160"
Kreis DÃ¼ren,50.801834,6.48195,05358,263722,https://www.kreis-dueren.de/aktuelles/presse/corona-aktuelles-komplett.php,"""24.03.2020"," 16 Uhr""",151,1747,0,1,1,1,1,2,4,4,4,4,5,6,7,9,15,18,24,39,47,57,80,107,118,130,142,"151"
DÃ¼sseldorf,51.226297,6.801324,05111,619294,https://www.duesseldorf.de/,"""24.03.2020"," 16 Uhr""",280,2212,0,2,0,0,1,1,1,3,3,3,3,5,6,7,16,23,36,36,97,97,154,187,189,189,205,"280"
Ennepe-Ruhr-Kreis,51.366277,7.310078,05954,324296,,"""24.03.2020"," 16 Uhr""",76,4267,0,1,0,0,0,0,0,0,0,0,0,0,1,1,3,3,14,17,17,32,38,45,45,52,76,"76"
Essen,51.468739,7.019603,05113,583109,,"""24.03.2020"," 16 Uhr""",254,2296,0,2,1,1,1,2,5,5,6,6,6,5,9,12,20,34,52,80,89,115,154,164,164,218,228,"254"
Kreis Euskirchen,50.5320004,6.6364339,05366,192840,,"""24.03.2020"," 16 Uhr""",61,3161,0,,0,0,0,0,1,1,1,1,2,2,2,3,4,5,6,12,12,19,26,42,45,51,53,"61"
Gelsenkirchen,51.517744,7.0857172,05513,260654,,"""24.03.2020"," 16 Uhr""",52,5013,0,,0,0,0,0,3,3,3,3,3,4,4,4,7,9,12,13,18,21,36,38,41,41,47,"52"
Kreis GÃ¼tersloh,51.903311,8.390601,05754,364083,,"""24.03.2020"," 16 Uhr""",254,1433,0,,0,0,0,0,1,1,0,0,0,0,5,15,15,15,45,71,80,91,100,169,179,202,224,"254"
Hagen,51.371236,7.487553,05914,188814,,"""24.03.2020"," 16 Uhr""",50,3776,0,1,0,0,0,0,0,0,0,0,1,1,3,3,3,5,5,6,8,11,22,31,31,37,43,"50"
Hamm,51.674274,7.821892,05915,179111,https://www.hamm.de/corona,"""24.03.2020"," 16 Uhr""",90,1990,0,,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,8,16,26,49,54,62,85,"90"
Kreis Heinsberg,51.06395,6.098857,05370,254322,https://www.kreis-heinsberg.de/aktuelles/aktuelles/?pid=5142,"""24.03.2020"," 16 Uhr""",1043,244,157,25,65,65,78,87,197,214,214,277,292,365,403,483,558,589,650,690,760,811,845,916,916,964,1004,"1043"
Kreis Herford,52.1759015,8.5988205,05758,250783,,"""24.03.2020"," 16 Uhr""",104,2411,0,,0,0,0,0,0,2,2,2,2,2,4,5,9,19,22,26,26,52,52,84,85,97,99,"104"
Herne,51.540584,7.20971,05916,156374,,"""24.03.2020"," 16 Uhr""",27,5792,0,,0,0,0,0,0,0,0,0,0,0,2,4,4,4,5,8,8,7,13,13,16,23,23,"27"
Hochsauerlandkreis,51.24509,8.301315,05958,260475,,"""24.03.2020"," 16 Uhr""",149,1748,0,,0,0,0,0,0,0,0,0,0,1,1,6,14,20,30,31,37,80,82,99,103,116,131,"149"
Kreis HÃ¶xter,51.775929,9.380873,05762,140667,,"""24.03.2020"," 16 Uhr""",22,6394,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,7,7,16,16,20,21,"22"
Kreis Kleve,51.7794,6.126757,05154,310974,,"""24.03.2020"," 16 Uhr""",126,2468,0,,0,0,0,0,0,0,0,0,0,1,2,4,10,14,32,36,66,66,74,89,109,109,109,"126"
KÃ¶ln,50.94718,6.934628,05315,1085664,https://www.koeln.de/koeln/nachrichten/lokales/coronavirus-in-koeln-der-aktuelle-stand_1144487.html,"""24.03.2020"," 16 Uhr""",880,1234,11,3,5,5,6,7,12,18,20,30,30,33,43,63,83,83,129,274,274,430,430,629,629,688,809,"880"
Krefeld,51.337869,6.585484,05114,227020,,"""24.03.2020"," 16 Uhr""",97,2340,0,,0,0,0,0,0,0,0,0,0,0,0,2,10,10,10,19,36,53,53,71,71,71,92,"97"
