Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Baden-Württem­berg,Germany,2020-03-21T20:53:28,3818,23,19,48.5205,9.0551
Bayern,Germany,2020-03-21T20:53:28,3695,21,15,48.1351,11.5775
Berlin,Germany,2020-03-21T20:53:28,1025,1,6,52.5224,13.3986
Brandenburg,Germany,2020-03-21T20:53:28,315,1,1,52.3501,12.9162
Bremen,Germany,2020-03-21T20:53:28,168,0,3,53.0842,8.8036
Hamburg,Germany,2020-03-21T20:53:28,768,1,1,53.5493,9.9937
Hessen,Germany,2020-03-21T20:53:28,1166,2,5,50.1284,8.702
Mecklenburg-Vor­pommern,Germany,2020-03-21T20:53:28,182,0,0,54.1202,12.1137
Niedersachsen,Germany,2020-03-21T20:53:28,1452,4,4,52.4455,9.7955
Nordrhein-West­falen,Germany,2020-03-21T20:53:28,6740,24,149,51.3239,6.7953
Rhein­land-Pfalz,Germany,2020-03-21T20:53:28,1062,2,1,49.9421,7.1618
Saarland,Germany,2020-03-21T20:53:28,301,1,0,49.2382,7.0046
Sachsen,Germany,2020-03-21T20:53:28,650,1,2,51.1278,13.6537
Sachsen-Anhalt,Germany,2020-03-21T20:53:28,253,1,0,52.1432,11.6375
Schles­wig-Holstein,Germany,2020-03-21T20:53:28,383,1,0,54.3615,10.1157
Thüringen,Germany,2020-03-21T20:53:28,235,1,3,51.0285,11.0345
